DEPT [FEET],PHIT [V/V],PERM [MD],G1 [],G2 [],PD1 [PSI],PD2 [PSI],BV1 [%],BV2 [%]
8484.0,0.044363696,0.5298305,1.0027488,0.1,566.60364,650.0,9.74556,0.0
8484.5,0.08876663,0.7593411,0.293192,0.1,162.1217,650.0,9.681438,0.0
8485.0,0.1186348,0.6599258,0.4615222,0.1,92.99267,650.0,15.312361,0.0
8485.5,0.12044154,0.42998016,0.34311384,0.1,143.17139,650.0,15.311604,0.0
8486.0,0.11834278,0.2699273,0.3394141,0.1,155.09299,650.0,15.411403,0.0
8486.5,0.11695066,0.11000576,0.40748453,0.1,262.91968,650.0,14.698522,0.0
8487.0,0.11834278,0.63009113,0.4596491,0.1,93.74289,650.0,15.3268385,0.0
8487.5,0.15631077,0.93985814,0.25807932,0.1,138.09421,650.0,18.351973,0.0
8488.0,0.17068045,0.83058053,0.20493875,0.1,163.81543,650.0,19.37839,0.0
8488.5,0.1743119,0.7705583,0.18768631,0.1,178.43727,650.0,20.398155,0.0
8489.0,0.16286935,1.0000474,0.24858706,0.1,136.1669,650.0,18.673126,0.0
8489.5,0.14503965,1.1263047,0.44619918,0.1,99.56215,650.0,16.837955,0.0
8490.0,0.13136597,0.58999455,0.41130278,0.1,111.45826,650.0,15.834738,0.0
8490.5,0.11695066,0.17996585,0.3944817,0.1,237.92674,650.0,14.919151,0.0
8491.0,0.12960365,0.38998845,0.33640522,0.1,147.59087,650.0,15.776873,0.0
8491.5,0.14653663,0.6001038,0.24994642,0.1,167.73627,650.0,16.596684,0.0
8492.0,0.15770304,0.8000347,0.25153917,0.1,141.65819,650.0,18.240507,0.0
8492.5,0.15873358,1.0099498,0.2564524,0.1,136.21187,650.0,18.514875,0.0
8493.0,0.16399571,1.2799952,0.34451714,0.1,116.723,650.0,19.127054,0.0
8493.5,0.16399571,1.4999639,0.35697824,0.1,112.961914,650.0,19.185684,0.0
8494.0,0.16399571,1.4998727,0.35697266,0.1,112.96346,650.0,19.185665,0.0
8494.5,0.17068045,1.4102361,0.32150492,0.1,124.61657,650.0,20.107021,0.0
8495.0,0.15873358,0.85022885,0.25215492,0.1,139.90767,650.0,18.347218,0.0
8495.5,0.1550132,0.6498869,0.21587913,0.1,178.54231,650.0,17.478807,0.0
8496.0,0.1461506,1.1502635,0.3126957,0.1,117.2595,650.0,17.173164,0.0
8496.5,0.13656193,1.149842,0.4564091,0.1,98.93115,650.0,15.637623,0.0
8497.0,0.13459517,0.64998794,0.40518215,0.1,113.82805,650.0,15.876989,0.0
8497.5,0.12933676,0.45001325,0.3360287,0.1,145.42773,650.0,15.70105,0.0
8498.0,0.13459517,1.799892,0.66516316,0.1,46.841347,650.0,16.924772,0.0
8498.5,0.13573545,4.4584775,0.63674366,0.1,22.685648,650.0,17.188879,0.0
8499.0,0.1455694,9.648313,0.5322965,0.1,19.671852,650.0,16.113,0.0
8499.5,0.13656193,12.878223,0.36452764,0.1,26.122261,650.0,13.981885,0.0
8500.0,0.13491718,5.9085994,0.59365016,0.1,22.19279,650.0,16.829885,0.0
8500.5,0.13350415,1.2199802,0.47243172,0.1,93.413925,650.0,15.549373,0.0
8501.0,0.13573545,0.99998605,0.44404173,0.1,102.24094,650.0,15.670456,0.0
8501.5,0.13573545,0.76002467,0.415095,0.1,110.96819,650.0,15.810285,0.0
8502.0,0.13459517,0.4900608,0.36998147,0.1,141.6141,650.0,16.338442,0.0
8502.5,0.13573545,0.61007607,0.3739933,0.1,142.17227,650.0,16.291107,0.0
8503.0,0.14523877,2.7671103,0.6593659,0.1,21.53649,650.0,17.610668,0.0
8503.5,0.15631077,3.589064,0.5818025,0.1,37.85664,650.0,19.17902,0.0
8504.0,0.1455694,1.7998426,0.6303937,0.1,61.408924,650.0,17.378122,0.0
8504.5,0.1455694,0.9098991,0.35278744,0.1,126.4577,650.0,16.811169,0.0
8505.0,0.1455694,0.9099527,0.35279286,0.1,126.455864,650.0,16.811176,0.0
8505.5,0.13656193,0.84006685,0.422337,0.1,108.92282,650.0,15.773879,0.0
8506.0,0.13136597,0.43018407,0.3367759,0.1,145.23055,650.0,15.836524,0.0
8506.5,0.10420799,0.23000178,0.43403113,0.1,215.09569,650.0,13.055929,0.0
8507.0,0.07642096,0.2199129,0.3993087,0.1,383.78574,650.0,7.927508,0.0
8507.5,0.0580815,0.19923453,0.717461,0.1,687.2253,650.0,9.094582,0.0
8508.0,0.058238693,0.15912919,1.779527,0.1,719.17505,650.0,12.911261,0.0
8508.5,0.058861103,0.11999858,2.0743196,0.1,691.29443,650.0,13.984024,0.0
8509.0,0.06932041,0.15994239,0.7931932,0.1,668.02423,650.0,9.816598,0.0
8509.5,0.07642096,0.19997653,0.7680628,0.1,627.3945,650.0,9.713509,0.0
8510.0,0.1016317,0.26000786,0.3880795,0.1,306.75333,650.0,11.182453,0.0
8510.5,0.11695066,0.48992038,0.45060673,0.1,97.3416,650.0,15.404485,0.0
8511.0,0.15770304,1.039879,0.2589887,0.1,135.6565,650.0,18.502779,0.0
8511.5,0.18556781,1.600208,0.17643681,0.1,145.75775,650.0,20.947243,0.0
8512.0,0.21240763,2.0294137,0.183388,0.1,103.03313,650.0,20.316416,0.9243471
8512.5,0.21501227,2.4510128,0.18997966,0.1,94.15451,650.0,19.207401,2.2938256
8513.0,0.21282546,2.340286,0.17997725,0.1,98.827415,650.0,20.050373,1.2321733
